dataset,n_test,n_deceptive_test,pct_dec,tfidf_auc,ft_auc,tfidf_f1,ft_f1,auc_delta,winner
deceptive opinion spam,800,400,50.0,0.9787,0.7015,0.8891,0.6377,-0.2772,TF-IDF
negative deceptive opinion spam,796,400,50.3,0.958,0.6502,0.8932,0.5858,-0.3078,TF-IDF
trec 2005 email spam,5000,2241,44.8,0.8999,0.8148,0.8094,0.776,-0.0851,TF-IDF
li et al 2015 hotel,1876,1080,57.6,0.896,0.621,0.812,0.5562,-0.275,TF-IDF
zeng et al 2022 phishing,5000,2000,40.0,0.8627,0.7949,0.7598,0.6129,-0.0678,TF-IDF
nazario trec 2007 email spam,5000,2788,55.8,0.8574,0.7627,0.7767,0.7155,-0.0947,TF-IDF
li et al 2015 restaurant,400,200,50.0,0.8336,0.6915,0.7352,0.6185,-0.1421,TF-IDF
fake job postings,5000,224,4.5,0.8219,0.4868,0.5822,0.5354,-0.3351,TF-IDF
zeng et al 2022 job scams,5000,212,4.2,0.8003,0.4912,0.6215,0.5516,-0.3091,TF-IDF
zeng et al 2022 fake news,5000,2213,44.3,0.6721,0.6456,0.424,0.4475,-0.0265,TF-IDF
cross cultural deception,600,300,50.0,0.6458,0.6495,0.583,0.6042,0.0037,Tie
MU3D,320,160,50.0,0.5897,0.5627,0.5192,0.5489,-0.027,TF-IDF
stony brook reviews,1000,500,50.0,0.5868,0.5731,0.5254,0.5618,-0.0137,Tie
box of lies,987,815,82.6,0.5861,0.6052,0.4667,0.5096,0.0191,Tie
hippocorpus,5000,2011,40.2,0.5684,0.5699,0.5109,0.5282,0.0015,Tie
zeng et al 2022 product reviews,5000,2502,50.0,0.5582,0.5489,0.5244,0.545,-0.0093,Tie
ultimate deception,376,238,63.3,0.5528,0.5656,0.5312,0.5322,0.0128,Tie
open domain,5000,2538,50.8,0.5472,0.5648,0.5246,0.5461,0.0176,Tie
zeng et al 2022 political statements,5000,2206,44.1,0.5442,0.5266,0.519,0.5115,-0.0176,Tie
stony brook opinions,1600,800,50.0,0.5425,0.4897,0.5246,0.4488,-0.0528,TF-IDF
li et al 2015 doctor,556,356,64.0,0.5381,0.4721,0.5081,0.4599,-0.066,TF-IDF
derev,4435,1752,39.5,0.5138,0.4931,0.5117,0.4913,-0.0207,TF-IDF
bluff,753,502,66.7,0.4887,0.4259,0.4631,0.3943,-0.0628,TF-IDF
boulder lies and truth,1492,439,29.4,0.4717,0.4954,0.4305,0.4312,0.0237,FastText
stapel science fraud,5000,1357,27.1,0.4496,0.5138,0.4534,0.4742,0.0642,FastText
