feature,outcome,pearson_r,p_value
vocab_jaccard,transfer_difficulty,-0.3924,0.0524
vocab_jaccard,auc_tfidf,0.3343,0.1024
vocab_jaccard,auc_fasttext,0.4049,0.0447
vocab_jaccard,auc_sbert,0.3782,0.0623
vocab_coverage,transfer_difficulty,0.4525,0.0231
vocab_coverage,auc_tfidf,-0.3806,0.0605
vocab_coverage,auc_fasttext,-0.4407,0.0275
vocab_coverage,auc_sbert,-0.4654,0.019
js_divergence,transfer_difficulty,0.3126,0.1281
js_divergence,auc_tfidf,-0.3258,0.1119
js_divergence,auc_fasttext,-0.2264,0.2765
js_divergence,auc_sbert,-0.2992,0.1462
tfidf_cosine_dist,transfer_difficulty,0.0617,0.7696
tfidf_cosine_dist,auc_tfidf,-0.1057,0.6151
tfidf_cosine_dist,auc_fasttext,-0.0113,0.9572
tfidf_cosine_dist,auc_sbert,-0.0289,0.8909
sbert_cosine_dist,transfer_difficulty,0.4788,0.0155
sbert_cosine_dist,auc_tfidf,-0.4753,0.0163
sbert_cosine_dist,auc_fasttext,-0.3607,0.0765
sbert_cosine_dist,auc_sbert,-0.4799,0.0152
mean_text_length,transfer_difficulty,-0.3661,0.0719
mean_text_length,auc_tfidf,0.3697,0.0689
mean_text_length,auc_fasttext,0.3073,0.1351
mean_text_length,auc_sbert,0.3311,0.1059
pct_deceptive,transfer_difficulty,0.0057,0.9786
pct_deceptive,auc_tfidf,-0.1512,0.4708
pct_deceptive,auc_fasttext,0.1779,0.3948
pct_deceptive,auc_sbert,0.0448,0.8315
