dataset,vocab_jaccard,vocab_coverage,js_divergence,tfidf_cosine_dist,sbert_cosine_dist,mean_text_length,pct_deceptive,n_test,auc_tfidf,auc_fasttext,auc_sbert,avg_auc,transfer_difficulty
MU3D,0.0108659744109427,0.981847519160952,0.615405783982371,0.4831603339527601,0.377870500087738,112.30625,0.5,320,0.5883,0.5617,0.4514,0.5337999999999999,0.46620000000000006
bluff,0.0681645699591968,0.9026365571056988,0.47938827088179,0.2835095229761072,0.1852348744869232,200.8499335989376,0.6666666666666666,753,0.4896,0.4254,0.4478,0.45426666666666665,0.5457333333333334
boulder lies and truth,0.0351604003535682,0.9477737665463296,0.4802669228295358,0.1958981404298357,0.2415393590927124,103.77412868632707,0.2942359249329758,1492,0.4718,0.4973,0.4742,0.4811,0.5188999999999999
box of lies,0.0054865581557307,0.9446579554189084,0.6781379920969395,0.5337033457989128,0.2829257249832153,8.933130699088146,0.8257345491388045,987,0.5842,0.6025,0.5717,0.5861333333333333,0.4138666666666667
cross cultural deception,0.0160578923402469,0.9827868852459016,0.5951257631361077,0.3795306110028602,0.4156688451766968,72.15,0.5,600,0.6446,0.6505,0.561,0.6187,0.3813
deceptive opinion spam,0.0249015633788984,1.0,0.53662593711497,0.3638547415626431,0.290252685546875,120.99125,0.5,800,0.9777,0.6964,0.7969,0.8236666666666667,0.17633333333333334
derev,0.0906509763305684,0.8356034731081026,0.3762267947959464,0.2772502371408699,0.3109601140022278,154.24148816234498,0.3950394588500563,4435,0.5139,0.4954,0.5096,0.5063000000000001,0.4936999999999999
fake job postings,0.0993785769769912,0.4097292521764738,0.3895510487811525,0.3593718604641983,0.2341976463794708,409.4752,0.0448,5000,0.8298,0.4895,0.6201,0.6464666666666666,0.35353333333333337
hippocorpus,0.0905215132007749,0.9006396020254064,0.3725036009052015,0.2560853011581883,0.3597640991210937,265.7976,0.4022,5000,0.5682,0.5699,0.545,0.5610333333333334,0.4389666666666666
li et al 2015 doctor,0.0165087811715966,0.9362025316455695,0.5797240721577768,0.3962189599839286,0.340506911277771,101.56115107913668,0.6402877697841727,556,0.5382,0.4711,0.5876,0.5323000000000001,0.4676999999999999
li et al 2015 hotel,0.0443299613396308,0.9915127309036446,0.4461231683779488,0.3050005609429926,0.2808789014816284,140.0410447761194,0.5756929637526652,1876,0.8963,0.6144,0.6703,0.727,0.273
li et al 2015 restaurant,0.0192855420933741,0.9452954048140044,0.5824360641927998,0.3239494200408834,0.2875889241695404,136.4225,0.5,400,0.8328,0.6864,0.7351,0.7514333333333334,0.2485666666666666
nazario trec 2007 email spam,0.1381371594896474,0.534292226404669,0.3708771829864217,0.3623977677463289,0.2050942182540893,266.4808,0.5576,5000,0.8587,0.7641,0.8097,0.8108333333333334,0.1891666666666666
negative deceptive opinion spam,0.0340398746439763,1.0,0.4928778835148615,0.2894922193191102,0.2567641735076904,180.76633165829145,0.5025125628140703,796,0.9581,0.6457,0.765,0.7896000000000001,0.21039999999999992
open domain,0.0275935036294318,0.960080770425598,0.5999365689455414,0.364375180186364,0.3527747690677643,8.3752,0.5076,5000,0.5476,0.5649,0.577,0.5631666666666666,0.4368333333333334
stapel science fraud,0.0219551611146329,0.9213188460097416,0.5789034947347287,0.5403528451560768,0.3350795209407806,17.0704,0.2714,5000,0.4491,0.5126,0.5156,0.49243333333333333,0.5075666666666667
stony brook opinions,0.035606824939063,0.9620069955373296,0.4732825986505293,0.3994816345917071,0.4530781507492066,138.27875,0.5,1600,0.5416,0.4877,0.5221,0.5171333333333333,0.48286666666666667
stony brook reviews,0.0269551164721743,0.913602663035255,0.5195193558299879,0.3046777195306597,0.3106646835803985,122.699,0.5,1000,0.586,0.5689,0.5446,0.5665,0.4335
trec 2005 email spam,0.138681797483951,0.4764351333527598,0.3554962226621159,0.3839254737614376,0.1798848807811737,303.473,0.4482,5000,0.9021,0.8141,0.917,0.8777333333333335,0.12226666666666652
ultimate deception,0.0269952946848688,0.9746937459703418,0.5006079569854103,0.3703994764605711,0.3305424153804779,335.6781914893617,0.6329787234042553,376,0.5537,0.5674,0.6154,0.5788333333333333,0.4211666666666667
zeng et al 2022 fake news,0.1759627146186194,0.6726165082507124,0.314374754303782,0.2395395110461258,0.2692987620830536,561.3944,0.4426,5000,0.6716,0.6404,0.5964,0.6361333333333333,0.36386666666666667
zeng et al 2022 job scams,0.0812671315434683,0.9225623352929252,0.3763718306774798,0.3365117887541299,0.2408233880996704,188.1644,0.0424,5000,0.8075,0.4932,0.5879,0.6295333333333333,0.3704666666666667
zeng et al 2022 phishing,0.1506459763752109,0.4735077035332417,0.3246784982456842,0.2729073380802749,0.1689981520175933,368.3598,0.4,5000,0.8626,0.7846,0.744,0.7970666666666667,0.2029333333333333
zeng et al 2022 political statements,0.0364818171266328,0.9492391683122314,0.5410734936232325,0.3650593899748831,0.3480936288833618,17.9996,0.4412,5000,0.5437,0.5256,0.5508,0.5400333333333333,0.45996666666666675
zeng et al 2022 product reviews,0.0678565369952054,0.8629009367016747,0.4071201602440383,0.210671740521997,0.2591541707515716,72.8744,0.5004,5000,0.5582,0.5486,0.5599,0.5555666666666667,0.44443333333333335
