dataset,n_train,n_test,n_deceptive_test,accuracy,f1_macro,f1_deceptive,precision,recall,roc_auc
MU3D,71192,320,160,0.5375,0.4526,0.6682,0.521,0.9313,0.5883
bluff,70759,753,502,0.5153,0.4682,0.6264,0.6442,0.6096,0.4896
boulder lies and truth,70020,1492,439,0.3727,0.3657,0.432,0.2945,0.8109,0.4718
box of lies,70525,987,815,0.7011,0.5401,0.8122,0.8439,0.7828,0.5842
cross cultural deception,70912,600,300,0.6083,0.6028,0.6498,0.5876,0.7267,0.6446
deceptive opinion spam,70712,800,400,0.8125,0.8064,0.8408,0.7306,0.99,0.9777
derev,67077,4435,1752,0.4769,0.476,0.4976,0.4009,0.6558,0.5139
fake job postings,66512,5000,224,0.9564,0.605,0.2324,0.55,0.1473,0.8298
hippocorpus,66512,5000,2011,0.4684,0.4415,0.5641,0.4208,0.8553,0.5682
li et al 2015 doctor,70956,556,356,0.5809,0.5056,0.6986,0.6475,0.7584,0.5382
li et al 2015 hotel,69636,1876,1080,0.8113,0.8034,0.8428,0.8097,0.8787,0.8963
li et al 2015 restaurant,71112,400,200,0.6875,0.6688,0.7475,0.6271,0.925,0.8328
nazario trec 2007 email spam,66512,5000,2788,0.7674,0.7568,0.8075,0.7496,0.8752,0.8587
negative deceptive opinion spam,70716,796,400,0.8656,0.8642,0.878,0.8071,0.9625,0.9581
open domain,66512,5000,2538,0.5386,0.5322,0.5871,0.5379,0.6462,0.5476
stapel science fraud,66512,5000,1357,0.3842,0.383,0.3557,0.2484,0.6264,0.4491
stony brook opinions,69912,1600,800,0.5106,0.4375,0.6403,0.5062,0.8712,0.5416
stony brook reviews,70512,1000,500,0.538,0.461,0.6647,0.5216,0.916,0.586
trec 2005 email spam,66512,5000,2241,0.7976,0.7975,0.8016,0.7148,0.9125,0.9021
ultimate deception,71136,376,238,0.609,0.5362,0.72,0.6585,0.7941,0.5537
zeng et al 2022 fake news,66512,5000,2213,0.6,0.4838,0.239,0.7566,0.1419,0.6716
zeng et al 2022 job scams,66512,5000,212,0.9568,0.6449,0.3121,0.4804,0.2311,0.8075
zeng et al 2022 phishing,66512,5000,2000,0.784,0.7807,0.7539,0.6926,0.827,0.8626
zeng et al 2022 political statements,66512,5000,2206,0.5342,0.5319,0.4992,0.4748,0.5263,0.5437
zeng et al 2022 product reviews,66512,5000,2502,0.5328,0.5307,0.5624,0.5293,0.5999,0.5582
